"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"fontquiver","fontquiver","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.1",NA,"R (>= 3.0.0)","fontBitstreamVera (>= 0.1.0), fontLiberation (>= 0.1.0)",NA,"testthat, htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"forcats","forcats","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4.0",NA,"R (>= 3.1)","ellipsis, magrittr, rlang, tibble",NA,"covr, ggplot2, testthat, readr, knitr, rmarkdown, dplyr",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"foreach","foreach","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4.4",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest","compiler, doMC, RUnit, doParallel","Apache License (== 2.0)",NA,NA,NA,NA,"no","3.5.3"
"forecast","forecast","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","8.7",NA,"R (>= 3.0.2),","colorspace, fracdiff, ggplot2 (>= 2.2.1), graphics, lmtest,
magrittr, nnet, parallel, Rcpp (>= 0.11.0), stats, timeDate,
tseries, urca, zoo","Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)","expsmooth, uroot, knitr, rmarkdown, rticles, testthat,
methods",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"foreign","foreign","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.8-71","recommended","R (>= 3.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.2"
"formatR","formatR","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.7",NA,"R (>= 3.0.2)",NA,NA,"codetools, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","3.5.3"
"Formula","Formula","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2-3",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.2"
"fracdiff","fracdiff","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4-2",NA,NA,NA,NA,"longmemo, urca",NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.5.3"
"freetypeharfbuzz","freetypeharfbuzz","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.5",NA,"R (>= 3.2)","fontquiver",NA,"covr, testthat",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"fs","fs","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3.1",NA,"R (>= 3.1)","methods, Rcpp","Rcpp","testthat, covr, pillar (>= 1.0.0), crayon, rmarkdown, knitr,
withr, spelling",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"fTrading","fTrading","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3042.79",NA,"R (>= 2.15.1), timeDate, timeSeries, fBasics","graphics, stats",NA,"methods, RUnit, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"fun","fun","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.5.2"
"gam","gam","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.16.1",NA,"stats, splines, foreach",NA,NA,"akima",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"gamlss.dist","gamlss.dist","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","5.1-4",NA,"R (>= 2.15.0), MASS, graphics, stats, methods, grDevices",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"gdalUtils","gdalUtils","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.0.1.14",NA,"R (>= 2.14.0)","sp, foreach, R.utils, raster, rgdal",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"gdata","gdata","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.18.0",NA,"R (>= 2.3.0)","gtools, stats, methods, utils",NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.2"
"gdtools","gdtools","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.9",NA,NA,"Rcpp (>= 0.12.12), withr","Rcpp","htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"GeneralizedHyperbolic","GeneralizedHyperbolic","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.8-4",NA,"R (>= 3.0.1)","DistributionUtils, MASS",NA,"VarianceGamma, actuar, SkewHyperbolic, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"generics","generics","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.0.2",NA,"R (>= 3.1)","methods",NA,"covr, pkgload, testthat, tibble",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"geojson","geojson","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.2",NA,NA,"methods, sp, jsonlite (>= 1.6), protolite (>= 1.8), jqr (>=
1.1.0), magrittr, lazyeval",NA,"geojsonlint (>= 0.2.0), tibble, testthat, knitr, rmarkdown,
sf, stringi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"geojsonio","geojsonio","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.7.0",NA,"R (>= 2.10)","methods, sp, sf (>= 0.6), rgdal (>= 1.1-1), rgeos, httr (>=
1.1.0), maptools, jsonlite (>= 0.9.21), magrittr, readr (>=
0.2.2), V8, geojson (>= 0.2.0), jqr",NA,"gistr, testthat, knitr, leaflet","RColorBrewer","MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"geojsonlint","geojsonlint","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.0",NA,"R (>= 2.10)","crul (>= 0.7.0), jsonlite (>= 0.9.19), jsonvalidate (>=
1.0.0), V8",NA,"testthat, knitr, rmarkdown (>= 0.9.6)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"geometry","geometry","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4.2",NA,"R (>= 3.0.0)","magic, Rcpp, lpSolve, linprog","Rcpp, RcppProgress","spelling, testthat, rgl, R.matlab, tripack",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.5.3"
"geozoo","geozoo","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.5.1",NA,"R (>= 1.8.0)","bitops, stats",NA,"tourr, roxygen2 (>= 5.0.0), testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"ggcorrplot","ggcorrplot","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.3",NA,"ggplot2","reshape2, stats",NA,"knitr, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"ggmap","ggmap","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.0.0",NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr",NA,"MASS, hexbin, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"ggplot2","ggplot2","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.2.1",NA,"R (>= 3.2)","digest, grDevices, grid, gtable (>= 0.1.1), lazyeval, MASS,
mgcv, reshape2, rlang (>= 0.3.0), scales (>= 0.5.0), stats,
tibble, viridisLite, withr (>= 2.0.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, rgeos, rmarkdown, rpart, sf (>= 0.7-3), svglite (>=
1.2.0.9001), testthat (>= 0.11.0), vdiffr (>= 0.3.0)","sp","GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"ggplot2movies","ggplot2movies","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.0.1",NA,"R (>= 2.10.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.2"
"ggpubr","ggpubr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.1",NA,"R (>= 3.1.0), ggplot2, magrittr","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom",NA,"grDevices, knitr, RColorBrewer, gtable",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"ggrepel","ggrepel","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.8.1",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, scales (>= 0.3.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"ggsci","ggsci","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"ggseas","ggseas","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.5.4",NA,"R (>= 3.1.2), ggplot2 (>= 2.0.0)","seasonal, rlang, stats, zoo",NA,"testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"ggsignif","ggsignif","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.5.0",NA,NA,"ggplot2 (>= 2.0.0)",NA,"testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"gh","gh","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.1",NA,NA,"ini, jsonlite, httr",NA,"covr, pingr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"gistr","gistr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4.2",NA,NA,"jsonlite (>= 1.4), httr (>= 1.2.0), magrittr, assertthat,
knitr, rmarkdown, dplyr",NA,"git2r, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"git2r","git2r","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.26.1",NA,"R (>= 3.1)","graphics, utils",NA,"getPass",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"glue","glue","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3.1",NA,"R (>= 3.1)","methods",NA,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2, dplyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"goftest","goftest","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1-1",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.2"
"gower","gower","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.1",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"gplots","gplots","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.0.1.1",NA,"R (>= 3.0)","gtools, gdata, stats, caTools, KernSmooth",NA,"grid, MASS",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"gridExtra","gridExtra","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"gridGraphics","gridGraphics","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"gsl","gsl","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.1-6",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"gss","gss","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.1-10",NA,"R (>= 2.14.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"gsubfn","gsubfn","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.7",NA,"proto",NA,NA,"boot, chron, grid, lattice, quantreg, svUnit, tcltk, zoo",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"gtable","gtable","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"gtools","gtools","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.8.1",NA,"methods, stats, utils",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.2"
"haven","haven","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.1.1",NA,"R (>= 3.2)","forcats (>= 0.2.0), hms, Rcpp (>= 0.11.4), readr (>= 0.1.0),
tibble","Rcpp","covr, fs, knitr, rmarkdown, testthat, pillar (>= 1.1.1), cli,
crayon",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"hexbin","hexbin","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.27.3",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"highr","highr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.8",NA,"R (>= 3.2.3)",NA,NA,"knitr, testit",NA,"GPL",NA,NA,NA,NA,"no","3.5.3"
"Hmisc","Hmisc","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","4.2-0",NA,"lattice, survival (>= 2.40-1), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, acepack, foreign,
gtable, grid, gridExtra, data.table, htmlTable (>= 1.11.0),
viridis, htmltools, base64enc",NA,"chron, rms, mice, tables, knitr, ff, ffbase, plotly (>=
4.5.6), rlang",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"hms","hms","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.5.0",NA,NA,"methods, pkgconfig, rlang, vctrs (>= 0.2.0)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"htmltab","htmltab","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.7.1",NA,"R (>= 3.0.0)","XML (>= 3.98.1.3), httr (>= 1.0.0)",NA,"testthat, knitr, tidyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"htmlTable","htmlTable","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.13.1",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xtable, ztable, Hmisc, reshape, rmarkdown,
pander, chron, lubridate, tibble, tidyr (>= 0.7.2), dplyr (>=
0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.3"
"htmltools","htmltools","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.6",NA,"R (>= 2.14.1)","utils, digest, Rcpp","Rcpp","markdown, testthat","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"htmlwidgets","htmlwidgets","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8)","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"httpcode","httpcode","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.0",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.2"
"httpuv","httpuv","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.5.1",NA,"R (>= 2.15.1)","Rcpp (>= 0.11.0), utils, R6, promises, later (>= 0.8.0)","Rcpp, BH, later","testthat, callr, curl",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"httr","httr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4.1",NA,"R (>= 3.2)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"hunspell","hunspell","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.0",NA,"R (>= 3.0.2)","Rcpp, digest","Rcpp (>= 0.12.12)","spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown",NA,"GPL-2 | LGPL-2.1 | MPL-1.1",NA,NA,NA,NA,"yes","3.5.3"
"igraph","igraph","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2.4.1",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, digest, graph, igraphdata, rgl, scales, stats4, tcltk,
testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"ini","ini","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"inline","inline","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.15",NA,"R (>= 2.4.0)","methods",NA,"Rcpp (>= 0.11.0)",NA,"LGPL",NA,NA,NA,NA,"no","3.5.3"
"installr","installr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.21.3",NA,"R (>= 2.14.0), stringr, utils",NA,NA,"curl, XML, htmltab, devtools, rjson, data.table, plyr,
ggplot2, sp, tools, pkgbuild",NA,"GPL-2",NA,NA,"windows",NA,"no","3.5.3"
"inum","inum","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0-1",NA,"R (>= 3.3.0)","stats, libcoin (>= 1.0-0)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"ipred","ipred","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.9-9",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"ISOcodes","ISOcodes","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2019.04.22",NA,"R (>= 2.10.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"ISwR","ISwR","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.0-7",NA,"R (>= 2.6.0)",NA,NA,"survival,MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"iterators","iterators","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.10",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","3.5.3"
"itertools","itertools","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1-3",NA,"R (>= 2.14.0), iterators(>= 1.0.0)","parallel",NA,"foreach",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"janeaustenr","janeaustenr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.5",NA,"R (>= 3.1.2)",NA,NA,"dplyr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"janitor","janitor","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2.0",NA,"R (>= 3.1.2)","dplyr (>= 0.7.0), tidyr (>= 0.7.0), snakecase (>= 0.9.2),
magrittr, purrr, rlang",NA,"testthat, knitr, rmarkdown, sf, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"jomo","jomo","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.6-8",NA,NA,"stats, lme4, survival, MASS, ordinal",NA,"mitml",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"jpeg","jpeg","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.2"
"jqr","jqr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.0",NA,"R (>= 3.1.2)","magrittr, lazyeval",NA,"roxygen2 (>= 6.1.0), jsonlite, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"jsonlite","jsonlite","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.6",NA,"methods",NA,NA,"httr, curl, plyr, testthat, knitr, rmarkdown, R.rsp, sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"jsonvalidate","jsonvalidate","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.0",NA,NA,"V8",NA,"knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"keras","keras","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.2.4.1",NA,"R (>= 3.2)","generics (>= 0.0.1), reticulate (>= 1.10), tensorflow (>=
1.13.1), tfruns (>= 1.0), magrittr, zeallot, methods, R6",NA,"ggplot2, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"kernlab","kernlab","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.9-27",NA,"R (>= 2.10)","methods, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.2"
"klaR","klaR","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.6-14",NA,"R (>= 2.10.0), MASS","combinat, questionr, grDevices, stats, utils, graphics",NA,"scatterplot3d (>= 0.3-22), som, mlbench, rpart, e1071",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"knitcitations","knitcitations","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.8",NA,"R (>= 3.0)","RefManageR (>= 0.8.2), digest, httr (>= 0.3), methods, utils",NA,"testthat, knitr (>= 1.6)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"knitr","knitr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.24",NA,"R (>= 3.2.3)","evaluate (>= 0.10), highr, markdown, stringr (>= 0.6), yaml
(>= 2.1.19), methods, xfun, tools",NA,"formatR, testit, digest, rgl (>= 0.95.1201), codetools,
rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice (>= 0.10),
tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1), magick,
png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>= 0.4-1),
showtext, tibble, styler",NA,"GPL",NA,NA,NA,NA,"no","3.5.3"
"labeling","labeling","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","3.5.2"
"labelled","labelled","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.2.1",NA,NA,"haven (>= 2.1.0), dplyr, stats",NA,"testthat, knitr, rmarkdown, questionr, snakecase","memisc","GPL-3",NA,NA,NA,NA,"no","3.5.3"
"Lahman","Lahman","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","7.0-1",NA,"R (>= 2.10)","dplyr",NA,"lattice, ggplot2, googleVis, data.table, vcd, reshape2,
tidyr, zipcode, knitr, rmarkdown, car",NA,"GPL",NA,NA,NA,NA,"no","3.5.3"
"later","later","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.8.0",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp, BH","knitr, rmarkdown, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"latticeExtra","latticeExtra","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.6-28",NA,"R (>= 2.10.0), lattice, RColorBrewer","grid, stats, utils, grDevices",NA,"maps, mapproj, deldir, tripack, zoo, MASS, quantreg, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"lava","lava","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.6.5",NA,"R (>= 3.0)","grDevices, graphics, methods, numDeriv, stats, survival,
SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
foreach, geepack, gof (>= 0.9), graph, igraph (>= 0.6),
lava.tobit (>= 0.4.7), lme4, mets (>= 1.1), nlme, optimx,
polycor, quantreg, rgl, testthat (>= 0.11), visNetwork, zoo",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"lazyeval","lazyeval","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"leafem","leafem","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.0.1",NA,"R (>= 3.1.0)","htmltools (>= 0.3), htmlwidgets, leaflet (>= 2.0.1), raster,
sf, sp",NA,"gdalUtils, plainview, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"leaflet","leaflet","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.0.2",NA,"R (>= 3.1.0)","base64enc, crosstalk, htmlwidgets, htmltools, magrittr,
markdown, methods, png, RColorBrewer, raster, scales (>=
1.0.0), sp, stats, viridis (>= 0.5.1)",NA,"knitr, maps, sf, shiny, testit (>= 0.4), rgdal, rgeos, R6,
RJSONIO, purrr, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"leafpop","leafpop","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.0.1",NA,NA,"base64enc, brew, gdalUtils, htmlwidgets, Rcpp (>= 1.0.0),
svglite, uuid","Rcpp","lattice, leaflet (>= 2.0.0), sf, sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"leafsync","leafsync","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.0",NA,"R (>= 3.1.0), methods","htmltools (>= 0.3), htmlwidgets, leaflet (>= 2.0.1)",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"leaps","leaps","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.0",NA,"",NA,NA,"biglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
